2026-09-24T16:48:42+03:00 mike-virtualbox dbus-daemon[1224]: [session uid=1000 pid=1224 pidfd=5] Activating via systemd: service name='org.gnome.Terminal' unit='gnome-terminal-server.service' requested by ':1.105' (uid=1000 pid=5206 comm="gnome-terminal --title=gt-1280-0" label="unconfined")
2026-09-24T16:48:42+03:00 mike-virtualbox systemd[1190]: Created slice app-org.gnome.Terminal.slice - Slice /app/org.gnome.Terminal.
2026-09-24T16:48:42+03:00 mike-virtualbox systemd[1190]: Starting gnome-terminal-server.service - GNOME Terminal Server...
2026-09-24T16:48:43+03:00 mike-virtualbox dbus-daemon[1224]: [session uid=1000 pid=1224 pidfd=5] Successfully activated service 'org.gnome.Terminal'
2026-09-24T16:48:43+03:00 mike-virtualbox systemd[1190]: Started gnome-terminal-server.service - GNOME Terminal Server.
2026-09-24T16:48:44+03:00 mike-virtualbox systemd[1190]: Started vte-spawn-c970d355-f026-4131-b480-2ed4c045f584.scope - VTE child process 5242 launched by org.gnome.Terminal process 5212.
2026-09-24T16:48:47+03:00 mike-virtualbox sshd-session[5133]: Received disconnect from 192.168.56.10 port 59110:11: disconnected by user
2026-09-24T16:48:47+03:00 mike-virtualbox sshd-session[5133]: Disconnected from user mike 192.168.56.10 port 59110
2026-09-24T16:48:47+03:00 mike-virtualbox sshd-session[5098]: pam_unix(sshd:session): session closed for user mike
2026-09-24T16:48:47+03:00 mike-virtualbox systemd-logind[854]: Session 31 logged out. Waiting for processes to exit.
2026-09-24T16:48:51+03:00 mike-virtualbox sshd-session[5398]: Accepted publickey for mike from 192.168.56.10 port 47106 ssh2: ED25519 SHA256:t/1KUIIlQRfSPlqpCqGg/OCEcULSXjiMwUxaO4zp7eU
2026-09-24T16:48:51+03:00 mike-virtualbox sshd-session[5398]: pam_unix(sshd:session): session opened for user mike(uid=1000) by mike(uid=0)
2026-09-24T16:48:51+03:00 mike-virtualbox systemd-logind[854]: New session '32' of user 'mike' with class 'user' and type 'tty'.
2026-09-24T16:48:51+03:00 mike-virtualbox systemd[1]: Started session-32.scope - Session 32 of User mike.
2026-09-24T16:48:52+03:00 mike-virtualbox compiz[2709]: /usr/bin/compiz (core) - Info: Stopping plugin: unityshell
2026-09-24T16:48:52+03:00 mike-virtualbox compiz[2709]: ERROR 2026-09-24 16:48:52 unity.shell.compiz unityshell.cpp:3981 Impossible to delete the unity locked stamp file
2026-09-24T16:48:52+03:00 mike-virtualbox compiz[2709]: g_hash_table_remove_internal: assertion 'hash_table != NULL' failed
2026-09-24T16:48:52+03:00 mike-virtualbox compiz[2709]: g_hash_table_remove_internal: assertion 'hash_table != NULL' failed
2026-09-24T16:48:52+03:00 mike-virtualbox compiz[2709]: g_hash_table_remove_internal: assertion 'hash_table != NULL' failed
2026-09-24T16:48:52+03:00 mike-virtualbox compiz[2709]: g_hash_table_remove_internal: assertion 'hash_table != NULL' failed
2026-09-24T16:48:52+03:00 mike-virtualbox compiz[2709]: g_hash_table_remove_internal: assertion 'hash_table != NULL' failed
2026-09-24T16:48:52+03:00 mike-virtualbox compiz[2709]: g_hash_table_remove_internal: assertion 'hash_table != NULL' failed
2026-09-24T16:48:52+03:00 mike-virtualbox compiz[2709]: g_hash_table_remove_internal: assertion 'hash_table != NULL' failed
2026-09-24T16:48:52+03:00 mike-virtualbox compiz[2709]: g_hash_table_remove_internal: assertion 'hash_table != NULL' failed
2026-09-24T16:48:52+03:00 mike-virtualbox compiz[2709]: g_hash_table_remove_internal: assertion 'hash_table != NULL' failed
2026-09-24T16:48:52+03:00 mike-virtualbox compiz[2709]: g_hash_table_remove_internal: assertion 'hash_table != NULL' failed
2026-09-24T16:48:52+03:00 mike-virtualbox compiz[2709]: g_hash_table_remove_internal: assertion 'hash_table != NULL' failed
2026-09-24T16:48:52+03:00 mike-virtualbox compiz[2709]: g_hash_table_remove_internal: assertion 'hash_table != NULL' failed
2026-09-24T16:48:52+03:00 mike-virtualbox compiz[2709]: g_hash_table_remove_internal: assertion 'hash_table != NULL' failed
2026-09-24T16:48:52+03:00 mike-virtualbox compiz[2709]: g_hash_table_remove_internal: assertion 'hash_table != NULL' failed
2026-09-24T16:48:52+03:00 mike-virtualbox compiz[2709]: g_hash_table_remove_internal: assertion 'hash_table != NULL' failed
2026-09-24T16:48:52+03:00 mike-virtualbox compiz[2709]: g_hash_table_remove_internal: assertion 'hash_table != NULL' failed
2026-09-24T16:48:52+03:00 mike-virtualbox compiz[2709]: g_hash_table_remove_internal: assertion 'hash_table != NULL' failed
2026-09-24T16:48:52+03:00 mike-virtualbox compiz[2709]: g_hash_table_remove_internal: assertion 'hash_table != NULL' failed
2026-09-24T16:48:52+03:00 mike-virtualbox compiz[2709]: g_hash_table_remove_internal: assertion 'hash_table != NULL' failed
2026-09-24T16:48:52+03:00 mike-virtualbox compiz[2709]: g_hash_table_remove_internal: assertion 'hash_table != NULL' failed
