plain#1 ok | plain border@901,377 -> xterm 442x290 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
plain#2 ok | plain border@901,377 -> xterm 442x290 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
plain#3 ok | plain border@901,377 -> xterm 442x290 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
plain#4 ok | plain border@901,377 -> xterm 442x290 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
plain#5 ok | plain border@901,377 -> xterm 442x290 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
plain#6 ok | plain border@901,377 -> xterm 442x290 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
plain#7 ok | plain border@901,377 -> xterm 442x290 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
plain#8 ok | plain border@901,377 -> xterm 442x290 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
plain#9 ok | plain border@901,377 -> xterm 442x290 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
plain#10 ok | plain border@901,377 -> xterm 442x290 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
rmb#1 ok | rmb border@901,377 -> xterm 526x290 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
rmb#2 ok | rmb border@901,377 -> xterm 526x290 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
rmb#3 ok | rmb border@901,377 -> xterm 520x290 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
rmb#4 ok | rmb border@901,377 -> xterm 526x290 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
rmb#5 ok | rmb border@901,377 -> xterm 526x290 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
rmb#6 ok | rmb border@901,377 -> xterm 526x290 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
rmb#7 ok | rmb border@901,377 -> xterm 526x290 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
rmb#8 ok | rmb border@901,377 -> xterm 526x290 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
rmb#9 ok | rmb border@901,377 -> xterm 526x290 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
rmb#10 ok | rmb border@901,377 -> xterm 526x290 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
rmb2#1 ok | rmb2 border@901,377 -> xterm 514x290 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
rmb2#2 ok | rmb2 border@901,377 -> xterm 514x290 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
rmb2#3 ok | rmb2 border@901,377 -> xterm 514x290 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
rmb2#4 ok | rmb2 border@901,377 -> xterm 514x290 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
rmb2#5 ok | rmb2 border@901,377 -> xterm 514x290 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
rmb2#6 ok | rmb2 border@901,377 -> xterm 514x290 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
rmb2#7 ok | rmb2 border@901,377 -> xterm 514x290 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
rmb2#8 ok | rmb2 border@901,377 -> xterm 514x290 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
rmb2#9 ok | rmb2 border@901,377 -> xterm 514x290 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
rmb2#10 ok | rmb2 border@901,377 -> xterm 514x290 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
wheel#1 ok | wheel border@901,377 -> xterm 442x290 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
wheel#2 ok | wheel border@901,377 -> xterm 448x290 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
wheel#3 ok | wheel border@901,377 -> xterm 448x290 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
wheel#4 ok | wheel border@901,377 -> xterm 448x290 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
wheel#5 ok | wheel border@901,377 -> xterm 448x290 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
wheel#6 ok | wheel border@901,377 -> xterm 448x290 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
wheel#7 ok | wheel border@901,377 -> xterm 448x290 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
