cycle 1: dialog after choose=yes (204,204,204) | after cancel=no (0,0,0)
cycle 2: dialog after choose=yes (204,204,204) | after cancel=no (0,0,0)
cycle 3: dialog after choose=yes (204,204,204) | after cancel=no (0,0,0)
cycle 4: dialog after choose=yes (204,204,204) | after cancel=no (0,0,0)
cycle 5: dialog after choose=yes (204,204,204) | after cancel=no (0,0,0)
cycle 6: dialog after choose=yes (204,204,204) | after cancel=no (0,0,0)
cycle 7: dialog after choose=yes (204,204,204) | after cancel=no (0,0,0)
cycle 8: dialog after choose=yes (204,204,204) | after cancel=no (0,0,0)
cycle 9: dialog after choose=yes (204,204,204) | after cancel=no (0,0,0)
cycle 10: dialog after choose=yes (204,204,204) | after cancel=no (0,0,0)
cycle 1: dialog after choose=yes (204,204,204) | after cancel=no (0,0,0)
cycle 2: dialog after choose=yes (204,204,204) | after cancel=no (0,0,0)
cycle 3: dialog after choose=yes (204,204,204) | after cancel=no (0,0,0)
cycle 4: dialog after choose=yes (204,204,204) | after cancel=no (0,0,0)
cycle 5: dialog after choose=yes (204,204,204) | after cancel=no (0,0,0)
cycle 6: dialog after choose=yes (204,204,204) | after cancel=no (0,0,0)
cycle 7: dialog after choose=yes (204,204,204) | after cancel=no (0,0,0)
cycle 8: dialog after choose=yes (204,204,204) | after cancel=no (0,0,0)
cycle 9: dialog after choose=yes (204,204,204) | after cancel=no (0,0,0)
cycle 10: dialog after choose=yes (204,204,204) | after cancel=no (0,0,0)
cycle 1: dialog after choose=yes (204,204,204) | after cancel=no (0,0,0)
cycle 2: dialog after choose=yes (204,204,204) | after cancel=no (0,0,0)
cycle 3: dialog after choose=yes (204,204,204) | after cancel=no (0,0,0)
