titleplain#1 ok | titleplain border@740,216 -> xterm 400x290+526+245 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titleplain#2 ok | titleplain border@740,216 -> xterm 400x290+534+250 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titleplain#3 ok | titleplain border@740,216 -> xterm 400x290+533+249 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titleplain#4 ok | titleplain border@740,216 -> xterm 400x290+530+247 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titleplain#5 ok | titleplain border@740,216 -> xterm 400x290+536+250 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titleplain#6 ok | titleplain border@740,216 -> xterm 400x290+535+249 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titleplain#7 ok | titleplain border@740,216 -> xterm 400x290+534+249 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titleplain#8 ok | titleplain border@740,216 -> xterm 400x290+534+249 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titleplain#9 ok | titleplain border@740,216 -> xterm 400x290+536+250 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titleplain#10 ok | titleplain border@740,216 -> xterm 400x290+536+250 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlermb#1 STUCK | titlermb border@740,216 -> xterm 400x290+514+237 | pointer=GRABBED keyboard=GRABBED | click@200,207 reached=0 pointer=free keyboard=free | grabwin=  parent=  | after recover: click@200,207 reached=2 pointer=free keyboard=free
titlermb#2 ok | titlermb border@740,216 -> xterm 400x290+570+261 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlermb#3 ok | titlermb border@740,216 -> xterm 400x290+570+261 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlermb#4 ok | titlermb border@740,216 -> xterm 400x290+1040+241 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlermb#5 ok | titlermb border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlermb#6 ok | titlermb border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlermb#7 ok | titlermb border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlermb#8 ok | titlermb border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlermb#9 ok | titlermb border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlermb#10 ok | titlermb border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlermb2#1 ok | titlermb2 border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlermb2#2 ok | titlermb2 border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlermb2#3 ok | titlermb2 border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlermb2#4 ok | titlermb2 border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlermb2#5 ok | titlermb2 border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlermb2#6 ok | titlermb2 border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlermb2#7 ok | titlermb2 border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlermb2#8 ok | titlermb2 border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlermb2#9 ok | titlermb2 border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlermb2#10 ok | titlermb2 border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlewheel#1 ok | titlewheel border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlewheel#2 ok | titlewheel border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlewheel#3 ok | titlewheel border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlewheel#4 ok | titlewheel border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlewheel#5 ok | titlewheel border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlewheel#6 ok | titlewheel border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlewheel#7 ok | titlewheel border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlewheel#8 ok | titlewheel border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlewheel#9 ok | titlewheel border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlewheel#10 ok | titlewheel border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
