titlemovermb#1 ok | titlemovermb border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlemovermb#2 ok | titlemovermb border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlemovermb#3 ok | titlemovermb border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlemovermb#4 ok | titlemovermb border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlemovermb#5 ok | titlemovermb border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlemovermb#6 ok | titlemovermb border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlemovermb#7 ok | titlemovermb border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlemovermb#8 ok | titlemovermb border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlemovermb#9 ok | titlemovermb border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlemovermb#10 ok | titlemovermb border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlemovermb2#1 ok | titlemovermb2 border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlemovermb2#2 ok | titlemovermb2 border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlemovermb2#3 ok | titlemovermb2 border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlemovermb2#4 ok | titlemovermb2 border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlemovermb2#5 ok | titlemovermb2 border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlemovermb2#6 ok | titlemovermb2 border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlemovermb2#7 ok | titlemovermb2 border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlemovermb2#8 ok | titlemovermb2 border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlemovermb2#9 ok | titlemovermb2 border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlemovermb2#10 ok | titlemovermb2 border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlemovewheel#1 ok | titlemovewheel border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlemovewheel#2 ok | titlemovewheel border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlemovewheel#3 ok | titlemovewheel border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlemovewheel#4 ok | titlemovewheel border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlemovewheel#5 ok | titlemovewheel border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlemovewheel#6 ok | titlemovewheel border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlemovewheel#7 ok | titlemovewheel border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlemovewheel#8 ok | titlemovewheel border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlemovewheel#9 ok | titlemovewheel border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
titlemovewheel#10 ok | titlemovewheel border@740,216 -> xterm 400x290+500+232 | pointer=free keyboard=free | click@200,207 reached=2 pointer=free keyboard=free
